product_id,brand,model,body_type,transmission,fuel_type,machine_capacity,production_year,price
82,Wuling,Wuling Almaz RS,SUV,Manual,Electric,<1000 cc,2010,280000000
83,Mercedes-Benz,Mercedes-Benz E250,Sedan,Automatic,Diesel,>2000 - 3000 cc,2017,70000000
84,Daihatsu,Daihatsu Ayla,Hatchback,Automatic Triptonic,Diesel,>1000 - 1500 cc,2014,380000000
85,Mazda,Mazda CX-5,SUV,Manual,Gasoline,>2000 - 3000 cc,2016,100000000
86,Chevrolet,Chevrolet TraX,SUV,Automatic,Hybrid,>3000cc,2004,630000000
87,Mercedes-Benz,Mercedes-Benz GLA200,SUV,Manual,Gasoline,>1000 - 1500 cc,2022,420000000
88,Toyota,Toyota Corolla Altis,Sedan,Manual,Diesel,>1500 - 2000 cc,2013,100000000
89,BMW,BMW 520i,Sedan,Manual,Gasoline,>2000 - 3000 cc,2014,440000000
90,Chevrolet,Chevrolet Spark,Hatchback,Automatic Triptonic,Diesel,>2000 - 3000 cc,2004,800000000
91,Honda,Honda CR-V,SUV,Manual,Hybrid,>2000 - 3000 cc,2011,730000000
92,BMW,BMW 520i,Sedan,Automatic,Electric,>2000 - 3000 cc,2014,750000000
93,Tesla,Tesla Model 3,Sedan,Automatic,Hybrid,>1000 - 1500 cc,2000,800000000
94,Toyota,Toyota Avanza,MPV,Automatic Triptonic,Hybrid,>2000 - 3000 cc,2020,790000000
95,Hyundai,Hyundai Creta,SUV,Automatic,Diesel,>3000cc,2014,110000000
96,Wuling,Wuling Cortez,MPV,Manual,Hybrid,>3000cc,2006,110000000
97,Hyundai,Hyundai Santa Fe,SUV,Automatic,Diesel,>1000 - 1500 cc,2003,960000000
98,Tesla,Tesla Model S,Sedan,Automatic Triptonic,Electric,<1000 cc,2000,450000000
99,Mitsubishi,Mitsubishi Mirage,Hatchback,Manual,Hybrid,>2000 - 3000 cc,2019,720000000
100,Mitsubishi,Mitsubishi Xpander,MPV,Manual,Hybrid,>2000 - 3000 cc,2023,340000000
